# Simulation parameters
# ----------------------------------------
# M rows = 51
# N cols = 51
# p_init_C = 0.500000
# sharing = False
# ----------------------------------------
# competition type:
# roulette = False
# tournament = True
# ----------------------------------------
# strategies:
# all-C = 0.200000
# all-D = 0.200000
# k-D = 0.200000
# k-C = 0.200000
# k-DC = 0.200000
# k_var (from to)
# min = 0 max = 8
# ----------------------------------------
# mutation:
# p_state_mut = 0.000000
# p_strat_mut = 0.000000
# p_0_neigh_mut = 0.300000
# p_1_neigh_mut = 0.100000
# ----------------------------------------
# synch_prob = 0.200000
# optimal_num_1s = 676
# ----------------------------------------
# seed = 5789302786441754
# num_of_iter = 200
# num_of_exper = 5
# ----------------------------------------
# debug = False
# read_CA_state_deb = False
# read_CA_strat_deb = False
# ----------------------------------------
# test_1 = False
# test_2 = False
# test_3 = False
# ----------------------------------------
# payoff function:
# d: 1.000000	c: 0.000000
# b: 1.200000	a: 0.100000
# ----------------------------------------

# Exper 1
#  1             2              3                4                5                6                7               8             9             10            11                12                    13                 14
# iter          f_C          f_C_corr          av_pay          f_cr_0s          f_cr_1s          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_fin       optim_solut
    30         0.24            0.13             0.19             0.10             0.23            0.04            0.49           0.10          0.08           0.29             0.58                  0.50                0.26
    31         0.24            0.13             0.19             0.09             0.23            0.04            0.49           0.10          0.08           0.29             0.57                  0.49                0.26
    32         0.23            0.14             0.19             0.11             0.22            0.04            0.49           0.09          0.08           0.30             0.56                  0.48                0.26
    33         0.23            0.15             0.19             0.11             0.21            0.04            0.49           0.09          0.08           0.31             0.57                  0.49                0.26
    34         0.23            0.14             0.19             0.11             0.21            0.04            0.49           0.09          0.08           0.30             0.57                  0.49                0.26
    35         0.23            0.13             0.19             0.11             0.21            0.03            0.51           0.08          0.08           0.30             0.58                  0.50                0.26
    36         0.23            0.15             0.19             0.11             0.21            0.03            0.50           0.08          0.08           0.30             0.54                  0.46                0.26
    37         0.22            0.15             0.19             0.10             0.20            0.03            0.50           0.08          0.08           0.31             0.59                  0.51                0.26
    38         0.22            0.15             0.19             0.11             0.20            0.03            0.51           0.08          0.09           0.30             0.58                  0.51                0.26
    39         0.23            0.16             0.20             0.10             0.20            0.03            0.51           0.07          0.08           0.31             0.58                  0.50                0.26
    40         0.22            0.17             0.20             0.10             0.20            0.03            0.51           0.07          0.08           0.32             0.63                  0.55                0.26
    41         0.22            0.18             0.21             0.13             0.19            0.03            0.50           0.07          0.08           0.33             0.63                  0.55                0.26
    42         0.22            0.18             0.21             0.11             0.19            0.03            0.49           0.07          0.07           0.34             0.66                  0.58                0.26
    43         0.22            0.19             0.21             0.10             0.19            0.03            0.49           0.07          0.08           0.33             0.63                  0.55                0.26
    44         0.22            0.20             0.22             0.12             0.18            0.03            0.48           0.07          0.08           0.34             0.62                  0.55                0.26
    45         0.22            0.21             0.22             0.11             0.19            0.03            0.48           0.07          0.08           0.34             0.64                  0.56                0.26
    46         0.22            0.22             0.23             0.10             0.18            0.02            0.48           0.07          0.08           0.35             0.67                  0.59                0.26
    47         0.21            0.21             0.23             0.11             0.17            0.02            0.48           0.07          0.08           0.35             0.67                  0.59                0.26
    48         0.22            0.20             0.23             0.12             0.17            0.02            0.47           0.07          0.08           0.35             0.68                  0.61                0.26
    49         0.22            0.22             0.23             0.12             0.18            0.02            0.47           0.07          0.08           0.35             0.66                  0.58                0.26
    50         0.22            0.21             0.23             0.09             0.18            0.02            0.46           0.08          0.08           0.36             0.68                  0.61                0.26
    51         0.22            0.22             0.23             0.10             0.18            0.02            0.45           0.08          0.08           0.36             0.65                  0.57                0.26
    52         0.21            0.23             0.23             0.09             0.17            0.02            0.45           0.08          0.08           0.37             0.66                  0.58                0.26
    53         0.22            0.23             0.24             0.10             0.16            0.02            0.44           0.09          0.08           0.38             0.69                  0.61                0.26
    54         0.22            0.24             0.24             0.10             0.17            0.02            0.43           0.09          0.08           0.38             0.69                  0.62                0.26
    55         0.22            0.21             0.24             0.09             0.17            0.02            0.43           0.09          0.08           0.39             0.71                  0.63                0.26
    56         0.21            0.24             0.24             0.09             0.18            0.02            0.42           0.09          0.08           0.39             0.66                  0.59                0.26
    57         0.20            0.26             0.25             0.10             0.16            0.02            0.43           0.08          0.08           0.40             0.73                  0.65                0.26
    58         0.21            0.28             0.25             0.11             0.15            0.02            0.42           0.07          0.08           0.41             0.72                  0.64                0.26
    59         0.21            0.27             0.26             0.09             0.14            0.01            0.41           0.08          0.08           0.41             0.74                  0.66                0.26
    60         0.21            0.28             0.26             0.09             0.15            0.01            0.41           0.08          0.08           0.41             0.74                  0.66                0.26
    61         0.20            0.27             0.26             0.08             0.14            0.01            0.40           0.08          0.08           0.43             0.75                  0.67                0.26
    62         0.21            0.25             0.26             0.10             0.14            0.01            0.39           0.08          0.08           0.43             0.74                  0.67                0.26
    63         0.21            0.25             0.26             0.11             0.16            0.01            0.39           0.08          0.08           0.44             0.73                  0.65                0.26
    64         0.20            0.27             0.26             0.10             0.16            0.01            0.39           0.08          0.08           0.44             0.71                  0.64                0.26
    65         0.21            0.27             0.26             0.11             0.14            0.01            0.38           0.08          0.08           0.44             0.73                  0.65                0.26
    66         0.21            0.29             0.27             0.11             0.15            0.01            0.38           0.08          0.08           0.44             0.74                  0.66                0.26
    67         0.20            0.28             0.27             0.08             0.14            0.01            0.38           0.09          0.08           0.45             0.76                  0.68                0.26
    68         0.20            0.28             0.26             0.12             0.14            0.01            0.37           0.09          0.08           0.45             0.76                  0.68                0.26
    69         0.20            0.29             0.27             0.11             0.14            0.01            0.37           0.09          0.08           0.45             0.76                  0.68                0.26
    70         0.20            0.30             0.27             0.10             0.13            0.01            0.37           0.09          0.08           0.45             0.75                  0.67                0.26
    71         0.20            0.32             0.27             0.09             0.13            0.01            0.37           0.07          0.09           0.47             0.78                  0.70                0.26
    72         0.21            0.32             0.28             0.09             0.13            0.01            0.36           0.07          0.09           0.47             0.78                  0.71                0.26
    73         0.20            0.33             0.29             0.07             0.13            0.00            0.37           0.06          0.09           0.47             0.77                  0.69                0.26
    74         0.20            0.32             0.29             0.08             0.12            0.00            0.36           0.06          0.09           0.48             0.79                  0.72                0.26
    75         0.20            0.33             0.28             0.07             0.13            0.00            0.36           0.06          0.09           0.49             0.76                  0.68                0.26
    76         0.20            0.32             0.29             0.08             0.12            0.00            0.37           0.05          0.09           0.48             0.74                  0.66                0.26
    77         0.20            0.32             0.29             0.10             0.12            0.00            0.37           0.05          0.09           0.48             0.74                  0.66                0.26
    78         0.20            0.32             0.29             0.09             0.13            0.00            0.37           0.05          0.09           0.49             0.76                  0.68                0.26
    79         0.20            0.30             0.29             0.08             0.13            0.00            0.36           0.05          0.09           0.50             0.76                  0.69                0.26
    80         0.20            0.31             0.28             0.08             0.13            0.00            0.36           0.06          0.08           0.50             0.74                  0.67                0.26
    81         0.20            0.32             0.28             0.07             0.13            0.00            0.36           0.05          0.08           0.49             0.77                  0.69                0.26
    82         0.20            0.32             0.29             0.08             0.13            0.00            0.36           0.06          0.09           0.49             0.77                  0.70                0.26
    83         0.19            0.33             0.29             0.08             0.12            0.00            0.36           0.06          0.09           0.49             0.78                  0.70                0.26
    84         0.19            0.33             0.29             0.10             0.11            0.00            0.36           0.06          0.09           0.50             0.80                  0.72                0.26
    85         0.19            0.34             0.29             0.09             0.12            0.00            0.36           0.06          0.09           0.50             0.79                  0.71                0.26
    86         0.19            0.34             0.30             0.09             0.11            0.00            0.36           0.06          0.09           0.50             0.79                  0.71                0.26
    87         0.20            0.33             0.30             0.10             0.11            0.00            0.36           0.05          0.09           0.50             0.78                  0.70                0.26
    88         0.20            0.33             0.29             0.09             0.12            0.00            0.36           0.05          0.09           0.50             0.78                  0.70                0.26
    89         0.20            0.33             0.29             0.09             0.12            0.00            0.36           0.05          0.09           0.50             0.77                  0.69                0.26
    90         0.19            0.33             0.30             0.07             0.12            0.00            0.35           0.05          0.08           0.51             0.78                  0.71                0.26
    91         0.19            0.33             0.29             0.09             0.12            0.00            0.36           0.05          0.08           0.51             0.77                  0.70                0.26
    92         0.19            0.33             0.30             0.10             0.12            0.00            0.35           0.05          0.08           0.51             0.77                  0.69                0.26
    93         0.20            0.35             0.30             0.10             0.12            0.00            0.35           0.05          0.08           0.51             0.79                  0.72                0.26
    94         0.19            0.35             0.30             0.08             0.11            0.00            0.33           0.06          0.08           0.53             0.82                  0.74                0.26
    95         0.19            0.35             0.30             0.10             0.11            0.00            0.33           0.05          0.08           0.54             0.79                  0.71                0.26
    96         0.20            0.35             0.30             0.10             0.11            0.00            0.32           0.05          0.08           0.54             0.80                  0.72                0.26
    97         0.20            0.35             0.31             0.08             0.12            0.00            0.33           0.05          0.09           0.54             0.80                  0.73                0.26
    98         0.20            0.35             0.31             0.09             0.12            0.00            0.33           0.05          0.08           0.54             0.81                  0.73                0.26
    99         0.20            0.36             0.31             0.10             0.11            0.00            0.32           0.04          0.08           0.55             0.79                  0.72                0.26
   100         0.20            0.37             0.31             0.09             0.11            0.00            0.32           0.04          0.08           0.56             0.80                  0.72                0.26
   101         0.20            0.38             0.31             0.07             0.11            0.00            0.31           0.04          0.08           0.57             0.81                  0.73                0.26
   102         0.19            0.38             0.31             0.08             0.11            0.00            0.30           0.04          0.07           0.58             0.80                  0.73                0.26
   103         0.19            0.38             0.31             0.09             0.10            0.00            0.30           0.05          0.07           0.58             0.81                  0.73                0.26
   104         0.19            0.37             0.31             0.09             0.10            0.00            0.31           0.05          0.07           0.57             0.82                  0.74                0.26
   105         0.20            0.38             0.31             0.09             0.10            0.00            0.31           0.05          0.07           0.57             0.81                  0.73                0.26
   106         0.20            0.38             0.32             0.08             0.11            0.00            0.30           0.05          0.07           0.57             0.82                  0.75                0.26
   107         0.19            0.39             0.32             0.08             0.11            0.00            0.31           0.05          0.07           0.57             0.83                  0.75                0.26
   108         0.19            0.37             0.32             0.09             0.09            0.00            0.30           0.05          0.07           0.58             0.83                  0.75                0.26
   109         0.19            0.38             0.32             0.10             0.10            0.00            0.30           0.05          0.07           0.58             0.81                  0.74                0.26
   110         0.20            0.38             0.32             0.09             0.10            0.00            0.30           0.05          0.07           0.58             0.79                  0.71                0.26
   111         0.20            0.37             0.32             0.08             0.11            0.00            0.30           0.05          0.07           0.57             0.82                  0.74                0.26
   112         0.20            0.39             0.32             0.08             0.11            0.00            0.31           0.05          0.07           0.57             0.80                  0.73                0.26
   113         0.19            0.39             0.32             0.08             0.10            0.00            0.30           0.04          0.08           0.58             0.81                  0.73                0.26
   114         0.19            0.38             0.32             0.08             0.10            0.00            0.30           0.04          0.07           0.58             0.80                  0.72                0.26
   115         0.20            0.38             0.32             0.08             0.10            0.00            0.30           0.04          0.07           0.59             0.81                  0.73                0.26
   116         0.19            0.39             0.32             0.08             0.10            0.00            0.29           0.04          0.07           0.59             0.80                  0.72                0.26
   117         0.20            0.39             0.32             0.08             0.10            0.00            0.29           0.04          0.07           0.59             0.82                  0.74                0.26
   118         0.20            0.39             0.33             0.08             0.10            0.00            0.29           0.04          0.07           0.60             0.83                  0.76                0.26
   119         0.20            0.39             0.32             0.09             0.10            0.00            0.30           0.04          0.07           0.60             0.82                  0.75                0.26
   120         0.20            0.41             0.33             0.08             0.10            0.00            0.29           0.04          0.07           0.60             0.81                  0.74                0.26
   121         0.20            0.39             0.33             0.08             0.10            0.00            0.29           0.04          0.07           0.60             0.83                  0.75                0.26
   122         0.19            0.39             0.33             0.08             0.10            0.00            0.29           0.04          0.07           0.60             0.82                  0.74                0.26
   123         0.20            0.39             0.33             0.09             0.10            0.00            0.29           0.04          0.07           0.60             0.81                  0.74                0.26
   124         0.20            0.39             0.32             0.09             0.10            0.00            0.29           0.04          0.07           0.60             0.82                  0.74                0.26
   125         0.20            0.40             0.32             0.08             0.11            0.00            0.28           0.04          0.07           0.60             0.78                  0.71                0.26
   126         0.20            0.40             0.33             0.08             0.10            0.00            0.28           0.04          0.07           0.61             0.79                  0.72                0.26
   127         0.20            0.40             0.33             0.08             0.11            0.00            0.28           0.04          0.07           0.61             0.81                  0.73                0.26
   128         0.20            0.41             0.33             0.08             0.10            0.00            0.28           0.04          0.07           0.62             0.81                  0.73                0.26
   129         0.20            0.40             0.33             0.08             0.10            0.00            0.28           0.04          0.07           0.62             0.80                  0.72                0.26
   130         0.20            0.40             0.33             0.08             0.10            0.00            0.27           0.04          0.07           0.62             0.81                  0.73                0.26
   131         0.20            0.40             0.33             0.09             0.10            0.00            0.27           0.03          0.07           0.62             0.82                  0.74                0.26
   132         0.19            0.40             0.33             0.08             0.10            0.00            0.27           0.03          0.07           0.62             0.80                  0.72                0.26
   133         0.20            0.41             0.33             0.09             0.10            0.00            0.27           0.03          0.08           0.63             0.81                  0.73                0.26
   134         0.20            0.41             0.33             0.08             0.10            0.00            0.27           0.03          0.07           0.62             0.83                  0.75                0.26
   135         0.20            0.41             0.33             0.07             0.10            0.00            0.27           0.02          0.08           0.63             0.83                  0.75                0.26
   136         0.20            0.41             0.33             0.08             0.10            0.00            0.27           0.03          0.08           0.63             0.81                  0.73                0.26
   137         0.19            0.41             0.33             0.08             0.10            0.00            0.26           0.03          0.08           0.63             0.80                  0.72                0.26
   138         0.20            0.41             0.33             0.09             0.10            0.00            0.26           0.03          0.08           0.63             0.82                  0.74                0.26
   139         0.20            0.41             0.33             0.07             0.10            0.00            0.26           0.03          0.08           0.64             0.83                  0.75                0.26
   140         0.20            0.42             0.33             0.08             0.10            0.00            0.25           0.03          0.08           0.64             0.81                  0.74                0.26
   141         0.20            0.43             0.34             0.08             0.10            0.00            0.25           0.03          0.08           0.64             0.82                  0.74                0.26
   142         0.20            0.44             0.34             0.07             0.10            0.00            0.25           0.03          0.08           0.65             0.83                  0.75                0.26
   143         0.20            0.42             0.35             0.08             0.09            0.00            0.25           0.02          0.08           0.65             0.83                  0.75                0.26
   144         0.20            0.44             0.34             0.08             0.10            0.00            0.24           0.02          0.08           0.66             0.81                  0.73                0.26
   145         0.20            0.42             0.34             0.08             0.09            0.00            0.24           0.02          0.08           0.66             0.82                  0.75                0.26
   146         0.20            0.42             0.34             0.07             0.10            0.00            0.24           0.02          0.08           0.66             0.80                  0.73                0.26
   147         0.20            0.41             0.34             0.06             0.10            0.00            0.24           0.02          0.08           0.66             0.80                  0.73                0.26
   148         0.20            0.42             0.34             0.06             0.10            0.00            0.23           0.02          0.08           0.67             0.81                  0.73                0.26
   149         0.20            0.41             0.34             0.07             0.10            0.00            0.23           0.02          0.08           0.67             0.83                  0.75                0.26
   150         0.20            0.41             0.34             0.08             0.10            0.00            0.23           0.02          0.08           0.67             0.83                  0.75                0.26
   151         0.20            0.42             0.33             0.07             0.10            0.00            0.24           0.02          0.08           0.67             0.82                  0.74                0.26
   152         0.20            0.42             0.34             0.08             0.10            0.00            0.24           0.01          0.08           0.67             0.83                  0.75                0.26
   153         0.20            0.42             0.34             0.08             0.10            0.00            0.23           0.01          0.08           0.68             0.84                  0.76                0.26
   154         0.20            0.42             0.34             0.08             0.09            0.00            0.23           0.01          0.08           0.68             0.84                  0.76                0.26
   155         0.20            0.43             0.34             0.08             0.09            0.00            0.22           0.01          0.08           0.69             0.83                  0.75                0.26
   156         0.20            0.43             0.35             0.07             0.09            0.00            0.22           0.01          0.08           0.69             0.84                  0.77                0.26
   157         0.20            0.43             0.34             0.07             0.10            0.00            0.22           0.01          0.08           0.69             0.83                  0.76                0.26
   158         0.20            0.43             0.35             0.07             0.10            0.00            0.22           0.01          0.07           0.69             0.84                  0.76                0.26
   159         0.20            0.42             0.35             0.07             0.09            0.00            0.22           0.01          0.08           0.70             0.83                  0.75                0.26
   160         0.20            0.42             0.34             0.08             0.10            0.00            0.21           0.01          0.08           0.70             0.82                  0.75                0.26
   161         0.20            0.43             0.34             0.07             0.10            0.00            0.21           0.01          0.08           0.70             0.81                  0.74                0.26
   162         0.20            0.45             0.35             0.07             0.10            0.00            0.21           0.01          0.08           0.70             0.83                  0.75                0.26
   163         0.20            0.45             0.36             0.07             0.09            0.00            0.20           0.01          0.08           0.71             0.84                  0.76                0.26
   164         0.20            0.45             0.36             0.07             0.09            0.00            0.20           0.01          0.08           0.71             0.84                  0.76                0.26
   165         0.20            0.44             0.35             0.08             0.09            0.00            0.20           0.01          0.07           0.71             0.84                  0.76                0.26
   166         0.20            0.43             0.35             0.07             0.10            0.00            0.21           0.01          0.07           0.71             0.83                  0.76                0.26
   167         0.20            0.43             0.35             0.08             0.10            0.00            0.20           0.01          0.07           0.71             0.83                  0.76                0.26
   168         0.20            0.44             0.35             0.07             0.10            0.00            0.20           0.01          0.07           0.72             0.84                  0.76                0.26
   169         0.20            0.44             0.35             0.07             0.10            0.00            0.21           0.01          0.07           0.71             0.83                  0.75                0.26
   170         0.20            0.45             0.35             0.06             0.10            0.00            0.21           0.01          0.07           0.71             0.83                  0.76                0.26
   171         0.20            0.45             0.35             0.07             0.09            0.00            0.21           0.01          0.07           0.71             0.84                  0.76                0.26
   172         0.20            0.45             0.35             0.07             0.09            0.00            0.21           0.01          0.07           0.72             0.84                  0.77                0.26
   173         0.20            0.45             0.35             0.06             0.09            0.00            0.20           0.01          0.07           0.72             0.84                  0.76                0.26
   174         0.20            0.45             0.35             0.07             0.09            0.00            0.20           0.01          0.07           0.72             0.84                  0.76                0.26
   175         0.20            0.45             0.36             0.07             0.09            0.00            0.20           0.01          0.07           0.72             0.84                  0.76                0.26
   176         0.20            0.43             0.36             0.07             0.09            0.00            0.20           0.01          0.07           0.72             0.83                  0.76                0.26
   177         0.20            0.45             0.35             0.07             0.10            0.00            0.20           0.01          0.07           0.72             0.83                  0.76                0.26
   178         0.20            0.46             0.36             0.07             0.09            0.00            0.20           0.01          0.07           0.72             0.84                  0.76                0.26
   179         0.20            0.46             0.36             0.07             0.09            0.00            0.20           0.01          0.07           0.72             0.83                  0.76                0.26
   180         0.20            0.45             0.36             0.06             0.09            0.00            0.20           0.01          0.07           0.73             0.84                  0.76                0.26
   181         0.20            0.46             0.36             0.06             0.09            0.00            0.20           0.01          0.07           0.73             0.85                  0.77                0.26
   182         0.20            0.45             0.36             0.07             0.09            0.00            0.20           0.01          0.07           0.73             0.84                  0.77                0.26
   183         0.21            0.44             0.36             0.06             0.10            0.00            0.20           0.01          0.07           0.73             0.84                  0.76                0.26
   184         0.20            0.45             0.36             0.07             0.10            0.00            0.20           0.01          0.07           0.72             0.84                  0.76                0.26
   185         0.20            0.45             0.36             0.07             0.09            0.00            0.20           0.01          0.07           0.73             0.84                  0.76                0.26
   186         0.21            0.45             0.36             0.07             0.09            0.00            0.20           0.01          0.07           0.73             0.84                  0.76                0.26
   187         0.21            0.46             0.36             0.06             0.10            0.00            0.20           0.01          0.07           0.73             0.84                  0.76                0.26
   188         0.21            0.46             0.36             0.06             0.10            0.00            0.19           0.01          0.07           0.73             0.84                  0.76                0.26
   189         0.21            0.45             0.37             0.06             0.10            0.00            0.19           0.01          0.07           0.73             0.84                  0.76                0.26
   190         0.20            0.47             0.36             0.07             0.10            0.00            0.19           0.00          0.07           0.73             0.84                  0.76                0.26
   191         0.21            0.48             0.37             0.07             0.09            0.00            0.19           0.00          0.07           0.74             0.84                  0.76                0.26
   192         0.21            0.47             0.37             0.06             0.09            0.00            0.19           0.00          0.06           0.74             0.84                  0.76                0.26
   193         0.20            0.47             0.37             0.06             0.09            0.00            0.19           0.00          0.06           0.75             0.84                  0.76                0.26
   194         0.20            0.47             0.37             0.07             0.09            0.00            0.19           0.00          0.06           0.75             0.84                  0.76                0.26
   195         0.20            0.48             0.37             0.07             0.09            0.00            0.19           0.00          0.06           0.75             0.83                  0.76                0.26
   196         0.20            0.49             0.37             0.06             0.09            0.00            0.19           0.00          0.06           0.75             0.83                  0.75                0.26
   197         0.21            0.48             0.38             0.07             0.08            0.00            0.18           0.00          0.06           0.75             0.83                  0.76                0.26
   198         0.21            0.49             0.37             0.06             0.09            0.00            0.18           0.00          0.06           0.75             0.83                  0.76                0.26
   199         0.21            0.50             0.38             0.05             0.09            0.00            0.18           0.00          0.06           0.75             0.84                  0.76                0.26
   200         0.20            0.50             0.38             0.05             0.08            0.00            0.18           0.00          0.06           0.76             0.84                  0.76                0.26

# Exper 2
#  1             2              3                4                5                6                7               8             9             10            11                12                    13                 14
# iter          f_C          f_C_corr          av_pay          f_cr_0s          f_cr_1s          f_allC          f_allD          f_kD          f_kC          f_kDC          f_strat_ch          f_strat_ch_fin       optim_solut
